synset	domain 
Synset('inventor.n.01')	Synset('creator.n.02')
Synset('bough.n.01')	Synset('stalk.n.02')
Synset('whelk.n.02')	Synset('mollusk.n.01')
Synset('sanguine.n.01')	Synset('visual_property.n.01')
Synset('areopagus.n.02')	Synset('assembly.n.04')
Synset('biofeedback.n.01')	Synset('know-how.n.01')
Synset('genus_fucus.n.01')	Synset('genus.n.02')-misc
Synset('know.n.01')	Synset('higher_cognitive_process.n.01')-misc
Synset('pierid.n.01')	Synset('lepidopterous_insect.n.01')
Synset('acute_myelocytic_leukemia.n.01')	Synset('malignancy.n.01')
Synset('emitter.n.01')	Synset('conductor.n.04')
Synset('sensorium.n.01')	Synset('body_part.n.01')-misc
Synset('pluralist.n.02')	Synset('intellectual.n.01')
Synset('pluralist.n.03')	Synset('adult.n.01')-misc
Synset('pluralist.n.01')	Synset('spiritual_leader.n.01')
Synset('saltbush.n.01')	Synset('shrub.n.01')-misc
Synset('rock_opera.n.01')	Synset('medium.n.01')
Synset('ichneumon.n.01')	Synset('carnivore.n.01')-misc
Synset('defender.n.01')	Synset('preserver.n.03')
Synset('synthesis.n.02')	Synset('reasoning.n.01')
Synset('lead-in.n.02')	Synset('conductor.n.04')
Synset('synthesis.n.01')	Synset('chemical_process.n.01')
Synset('lancet_arch.n.01')	Synset('structure.n.01')-misc
Synset('logwood.n.02')	Synset('tree.n.01')-misc
Synset('half_life.n.01')	Synset('time_period.n.01')-misc
Synset('swedish.n.01')	Synset('indo-european.n.02')
Synset('reciprocating_engine.n.01')	Synset('motor.n.01')
Synset('arena.n.02')	Synset('area.n.01')
Synset('thrinax.n.01')	Synset('monocot_genus.n.01')-misc
Synset('hour_circle.n.01')	Synset('line.n.11')
Synset('wedding_ring.n.01')	Synset('adornment.n.01')
Synset('armor_plate.n.01')	Synset('protective_covering.n.01')
Synset('saddle.n.06')	Synset('body_part.n.01')-misc
Synset('camomile_tea.n.01')	Synset('beverage.n.01')-misc
Synset('saddle.n.03')	Synset('meat.n.01')
Synset('adventurism.n.01')	Synset('trait.n.01')-misc
Synset('wholeness.n.02')	Synset('physical_condition.n.01')-misc
Synset('cask.n.01')	Synset('containerful.n.01')
Synset('selectivity.n.01')	Synset('property.n.02')-misc
Synset('galena.n.01')	Synset('mineral.n.01')-misc
Synset('vermonter.n.01')	Synset('american.n.01')
Synset('leucogenes.n.01')	Synset('asterid_dicot_genus.n.01')-misc
Synset('fire_control_system.n.01')	Synset('weaponry.n.01')
Synset('polygonales.n.01')	Synset('plant_order.n.01')
Synset('wheat_future.n.01')	Synset('commodity.n.01')-misc
Synset('rose_quartz.n.01')	Synset('mineral.n.01')-misc
Synset('direction.n.06')	Synset('direction.n.06')
Synset('united_states_secret_service.n.01')	Synset('administrative_unit.n.01')-misc
Synset('effluent.n.01')	Synset('material.n.01')-misc
Synset('grandstand.n.02')	Synset('position.n.07')
Synset('buddy.n.01')	Synset('person.n.01')-misc
Synset('molluga.n.01')	Synset('caryophylloid_dicot_genus.n.01')
Synset('declination.n.03')	Synset('amorphous_shape.n.01')
Synset('vivisection.n.01')	Synset('medical_procedure.n.01')
Synset('cannabis.n.02')	Synset('drug_of_abuse.n.01')-misc
Synset('declination.n.04')	Synset('message.n.02')-misc
Synset('scuff.n.02')	Synset('act.n.02')-misc
Synset('genus_campanula.n.01')	Synset('genus.n.02')-misc
Synset('colloquialism.n.01')	Synset('expressive_style.n.01')-misc
Synset('tremellaceae.n.01')	Synset('fungus_family.n.01')
Synset('yard_bird.n.01')	Synset('serviceman.n.01')
Synset('osier.n.02')	Synset('tree.n.01')-misc
Synset('ornamentation.n.03')	Synset('change_of_state.n.01')-misc
Synset('iguanidae.n.01')	Synset('family.n.06')-misc
Synset('capsizing.n.01')	Synset('trouble.n.03')
Synset('palette_knife.n.01')	Synset('hand_tool.n.01')
Synset('lemnaceae.n.01')	Synset('monocot_family.n.01')
Synset('guano.n.01')	Synset('chemical.n.01')-misc
Synset('basic.n.02')	Synset('commodity.n.01')-misc
Synset('corn_cake.n.01')	Synset('starches.n.01')
Synset('basic.n.01')	Synset('artificial_language.n.01')
Synset('natural.n.03')	Synset('diversion.n.01')-misc
Synset('natural.n.02')	Synset('notation.n.01')
Synset('natural.n.01')	Synset('person.n.01')-misc
Synset('trochlear.n.01')	Synset('animal_tissue.n.01')-misc
Synset('thyroidectomy.n.01')	Synset('medical_procedure.n.01')
Synset('lophodytes.n.01')	Synset('bird_genus.n.01')-misc
Synset('englishman.n.01')	Synset('european.n.01')
Synset('eurylaimidae.n.01')	Synset('bird_family.n.01')
Synset('raw_material.n.01')	Synset('material.n.01')-misc
Synset('arm.n.01')	Synset('external_body_part.n.01')
Synset('power_station.n.01')	Synset('facility.n.01')
Synset('halma.n.01')	Synset('game.n.01')
Synset('boat_whistle.n.01')	Synset('device.n.01')-misc
Synset('principal_axis.n.01')	Synset('line.n.11')
Synset('calvaria.n.01')	Synset('connective_tissue.n.01')
Synset('giant.n.01')	Synset('animal.n.01')-misc
Synset('echinops.n.01')	Synset('asterid_dicot_genus.n.01')-misc
Synset('relapsing_fever.n.01')	Synset('communicable_disease.n.01')
Synset('tremella_foliacea.n.01')	Synset('fungus.n.01')-misc
Synset('bawler.n.02')	Synset('unfortunate.n.01')
Synset('express.n.02')	Synset('conveyance.n.03')-misc
Synset('tineoidea.n.01')	Synset('arthropod_family.n.01')
Synset('absentee_rate.n.01')	Synset('magnitude_relation.n.01')
Synset('express.n.01')	Synset('communication.n.02')-misc
Synset('scenery.n.01')	Synset('representation.n.02')-misc
Synset('presence_chamber.n.01')	Synset('room.n.01')
Synset('going-out-of-business_sale.n.01')	Synset('being.n.01')
Synset('rose_water.n.01')	Synset('toiletry.n.01')
Synset('poinsettia.n.01')	Synset('shrub.n.01')-misc
Synset('irish_moss.n.01')	Synset('protoctist.n.01')
Synset('scanning.n.02')	Synset('activity.n.01')-misc
Synset('collar.n.04')	Synset('strip.n.02')
Synset('caeciliidae.n.01')	Synset('family.n.06')-misc
Synset('broad_hatchet.n.01')	Synset('cutting_implement.n.01')
Synset('cirripedia.n.01')	Synset('class.n.07')
Synset('muscle_cell.n.01')	Synset('cell.n.02')
Synset('cabbage_tree.n.03')	Synset('tree.n.01')-misc
Synset('revers.n.01')	Synset('covering.n.02')-misc
Synset('employee_turnover.n.01')	Synset('magnitude_relation.n.01')
Synset('tree_of_heaven.n.01')	Synset('angiospermous_tree.n.01')-misc
Synset('life_cycle.n.02')	Synset('organic_process.n.01')-misc
Synset('bedder.n.01')	Synset('plant.n.02')-misc
Synset('building_code.n.01')	Synset('written_communication.n.01')-misc
Synset('syndic.n.01')	Synset('capitalist.n.02')
Synset('recovery.n.01')	Synset('change.n.01')
Synset('water_chestnut.n.02')	Synset('aquatic_plant.n.01')
Synset('speeding_ticket.n.01')	Synset('legal_document.n.01')-misc
Synset('word_meaning.n.01')	Synset('message.n.02')-misc
Synset('liberty.n.03')	Synset('state.n.02')-misc
Synset('liberty.n.02')	Synset('state.n.02')-misc
Synset('left-hander.n.02')	Synset('person.n.01')-misc
Synset('cortinarius_corrugatus.n.01')	Synset('basidiomycete.n.01')
Synset('riff.n.02')	Synset('musical_composition.n.01')
Synset('dharma.n.01')	Synset('spiritual_being.n.01')
Synset('cordylidae.n.01')	Synset('reptile_genus.n.01')
Synset('riff.n.01')	Synset('african.n.01')
Synset('impasto.n.01')	Synset('humanistic_discipline.n.01')-misc
Synset('radioactivity_unit.n.01')	Synset('electromagnetic_unit.n.01')
Synset('battering.n.01')	Synset('group_action.n.01')-misc
Synset('ovibos.n.01')	Synset('mammal_genus.n.01')-misc
Synset('interferon.n.01')	Synset('medicine.n.02')-misc
Synset('lanthanotidae.n.01')	Synset('family.n.06')-misc
Synset('alcalde.n.01')	Synset('official.n.01')
Synset('whitewash.n.02')	Synset('coating.n.01')
Synset('whitewash.n.03')	Synset('accomplishment.n.01')
Synset('wingback.n.01')	Synset('player.n.01')
Synset('double_talk.n.01')	Synset('message.n.02')-misc
Synset('vaudevillian.n.01')	Synset('entertainer.n.01')
Synset('katabatic_wind.n.01')	Synset('atmospheric_phenomenon.n.01')
Synset('salmagundi.n.02')	Synset('dish.n.02')-misc
Synset('economic_growth.n.01')	Synset('process.n.06')-misc
Synset('racketeer.n.01')	Synset('wrongdoer.n.01')
Synset('dunker.n.02')	Synset('athlete.n.01')
Synset('dunker.n.03')	Synset('religious_person.n.01')
Synset('aster.n.01')	Synset('flower.n.01')-misc
Synset('dunker.n.01')	Synset('user.n.01')
Synset('flaviviridae.n.01')	Synset('agent.n.01')
Synset('sycamore.n.04')	Synset('tree.n.01')-misc
Synset('succussion.n.01')	Synset('procedure.n.01')-misc
Synset('false_return.n.01')	Synset('legal_document.n.01')-misc
Synset('bell_metal.n.01')	Synset('mixture.n.01')
Synset('touch-typist.n.01')	Synset('employee.n.01')-misc
Synset('sun_bathing.n.01')	Synset('diversion.n.01')-misc
Synset('grouping.n.03')	Synset('structure.n.03')
Synset('carpetweed.n.01')	Synset('weed.n.01')
Synset('opium_addict.n.01')	Synset('person.n.01')-misc
Synset('eurasian_otter.n.01')	Synset('carnivore.n.01')-misc
Synset('bacon-lettuce-tomato_sandwich.n.01')	Synset('dish.n.02')-misc
Synset('premature_labor.n.01')	Synset('organic_process.n.01')-misc
Synset('pheniramine.n.01')	Synset('medicine.n.02')-misc
Synset('grain_moth.n.01')	Synset('lepidopterous_insect.n.01')
Synset('royal.n.02')	Synset('placental.n.01')-misc
Synset('drafting_instrument.n.01')	Synset('instrument.n.01')-misc
Synset('buffalo_carpet_beetle.n.01')	Synset('beetle.n.01')
Synset('black_fox.n.01')	Synset('canine.n.02')-misc
Synset('falsetto.n.01')	Synset('sound_property.n.01')
Synset('anhidrosis.n.01')	Synset('physical_condition.n.01')-misc
Synset('hyaluronidase.n.01')	Synset('activator.n.01')
Synset('infraorbital_artery.n.01')	Synset('artery.n.01')
Synset('chaenomeles.n.01')	Synset('rosid_dicot_genus.n.01')-misc
Synset('pruning.n.01')	Synset('part.n.03')-misc
Synset('foreboding.n.01')	Synset('emotion.n.01')
Synset('foreboding.n.02')	Synset('happening.n.01')-misc
Synset('pruning.n.02')	Synset('change_of_magnitude.n.01')
Synset('second_string.n.01')	Synset('unit.n.03')-misc
Synset('madness.n.05')	Synset('trait.n.01')-misc
Synset('snapdragon.n.01')	Synset('flower.n.01')-misc
Synset('methylene_chloride.n.01')	Synset('compound.n.02')-misc
Synset('news_agency.n.01')	Synset('enterprise.n.02')
Synset('qi.n.01')	Synset('physical_condition.n.01')-misc
Synset('hood.n.04')	Synset('component.n.03')
Synset('jabot.n.01')	Synset('adornment.n.01')
Synset('immunohistochemistry.n.01')	Synset('attempt.n.01')
Synset('accountancy.n.01')	Synset('occupation.n.01')-misc
Synset('rocky_mountain_dogbane.n.01')	Synset('plant.n.02')-misc
Synset('daycare.n.01')	Synset('activity.n.01')-misc
Synset('silk.n.02')	Synset('fiber.n.01')
Synset('economizer.n.01')	Synset('person.n.01')-misc
Synset('cyclic_redundancy_check.n.01')	Synset('coding_system.n.01')
Synset('leninism.n.01')	Synset('attitude.n.01')
Synset('reservist.n.01')	Synset('serviceman.n.01')
Synset('basophil.n.01')	Synset('cell.n.02')
Synset('camera_lucida.n.01')	Synset('device.n.01')-misc
Synset('plastic_bomb.n.01')	Synset('explosive_device.n.01')
Synset('cytology.n.01')	Synset('life_science.n.01')
Synset('pansy_orchid.n.01')	Synset('orchid.n.01')
Synset('ribonuclease.n.01')	Synset('activator.n.01')
Synset('planarian.n.01')	Synset('invertebrate.n.01')-misc
Synset('enterobius.n.01')	Synset('genus.n.02')-misc
Synset('thermography.n.01')	Synset('procedure.n.01')-misc
Synset('lake.n.01')	Synset('body_of_water.n.01')
Synset('lake.n.02')	Synset('coloring_material.n.01')
Synset('lake.n.03')	Synset('coloring_material.n.01')
Synset('wolf_pup.n.01')	Synset('canine.n.02')-misc
Synset('pillow_lace.n.01')	Synset('fabric.n.01')-misc
Synset('myrmecobius.n.01')	Synset('mammal_genus.n.01')-misc
Synset('clementine.n.01')	Synset('fruit_tree.n.01')
Synset('curler.n.01')	Synset('mechanical_device.n.01')
Synset('ricinus.n.01')	Synset('rosid_dicot_genus.n.01')-misc
Synset('clementine.n.02')	Synset('edible_fruit.n.01')
Synset('constable.n.03')	Synset('preserver.n.03')
Synset('deal.n.09')	Synset('act.n.02')-misc
Synset('sealing_material.n.01')	Synset('material.n.01')-misc
Synset('briefcase_bomb.n.01')	Synset('explosive_device.n.01')
Synset('earleaved_umbrella_tree.n.01')	Synset('angiospermous_tree.n.01')-misc
Synset('blackface.n.01')	Synset('toiletry.n.01')
Synset('pepsi.n.01')	Synset('beverage.n.01')-misc
Synset('policeman_bird.n.01')	Synset('wading_bird.n.01')
Synset('cuirass.n.01')	Synset('protective_covering.n.01')
Synset('chain_fern.n.01')	Synset('fern.n.01')
Synset('cad.n.01')	Synset('unwelcome_person.n.01')
Synset('homospory.n.01')	Synset('organic_process.n.01')-misc
Synset('placket.n.01')	Synset('piece.n.01')
Synset('amusement.n.01')	Synset('feeling.n.01')-misc
Synset('golden_groundsel.n.01')	Synset('herb.n.01')-misc
Synset('episcia.n.01')	Synset('plant.n.02')-misc
Synset('musculus_sphincter_ductus_pancreatici.n.01')	Synset('contractile_organ.n.01')
Synset('sweet_violet.n.01')	Synset('herb.n.01')-misc
Synset('anemography.n.01')	Synset('measurement.n.01')
Synset('love-lies-bleeding.n.01')	Synset('herb.n.01')-misc
Synset('dwarf_bilberry.n.01')	Synset('shrub.n.01')-misc
Synset('catalpa_bignioides.n.01')	Synset('tree.n.01')-misc
Synset('key_lime.n.01')	Synset('edible_fruit.n.01')
Synset('minim.n.02')	Synset('volume_unit.n.01')
Synset('elixir.n.03')	Synset('beverage.n.01')-misc
Synset('minim.n.01')	Synset('volume_unit.n.01')
Synset('seneca_snakeroot.n.01')	Synset('subshrub.n.01')
Synset('black_knot.n.01')	Synset('plant_disease.n.01')
Synset('scrub_brush.n.01')	Synset('implement.n.01')-misc
Synset('arawak.n.02')	Synset('amerind.n.01')
Synset('boredom.n.01')	Synset('feeling.n.01')-misc
Synset('tin_pest.n.01')	Synset('change.n.01')
Synset('cubic_millimeter.n.01')	Synset('volume_unit.n.01')
Synset('dish.n.03')	Synset('containerful.n.01')
Synset('dish.n.02')	Synset('dish.n.02')-misc
Synset('dish.n.01')	Synset('article.n.02')
Synset('wood_anemone.n.01')	Synset('flower.n.01')-misc
Synset('solan.n.01')	Synset('seabird.n.01')
Synset('estrone.n.01')	Synset('body_substance.n.01')
Synset('aliquant.n.01')	Synset('number.n.02')-misc
Synset('chickasaw.n.01')	Synset('amerindian.n.01')
Synset('blank.n.04')	Synset('weaponry.n.01')
Synset('shagbark.n.01')	Synset('angiospermous_tree.n.01')-misc
Synset('toll_call.n.01')	Synset('medium.n.01')
Synset('pythian_games.n.01')	Synset('diversion.n.01')-misc
Synset('genus_glossina.n.01')	Synset('arthropod_genus.n.01')-misc
Synset('dhu'l-hijja.n.01')	Synset('calendar_month.n.01')
Synset('machinery.n.02')	Synset('system.n.02')
Synset('bowling.n.01')	Synset('game.n.01')
Synset('scapegoat.n.01')	Synset('unfortunate.n.01')
Synset('aotus.n.01')	Synset('mammal_genus.n.01')-misc
Synset('high-definition_television.n.01')	Synset('medium.n.01')
Synset('baby_grand.n.01')	Synset('musical_instrument.n.01')
Synset('lavage.n.01')	Synset('care.n.01')
Synset('karyolymph.n.01')	Synset('body_substance.n.01')
Synset('scute.n.01')	Synset('covering.n.01')
Synset('symphony.n.01')	Synset('music_genre.n.01')
Synset('lobsterman.n.01')	Synset('skilled_worker.n.01')-misc
Synset('manx.n.01')	Synset('indo-european.n.02')
Synset('hershey_bar.n.01')	Synset('food.n.02')-misc
Synset('streak.n.02')	Synset('quality.n.01')-misc
Synset('streak.n.01')	Synset('ordering.n.01')
Synset('pogostemon.n.01')	Synset('asterid_dicot_genus.n.01')-misc
Synset('white_false_indigo.n.01')	Synset('woody_plant.n.01')-misc
Synset('heidelberg_man.n.01')	Synset('person.n.01')-misc
Synset('streak.n.04')	Synset('happening.n.01')-misc
Synset('gloriosa.n.01')	Synset('plant.n.02')-misc
Synset('grand_larceny.n.01')	Synset('transgression.n.01')
Synset('dryas.n.01')	Synset('rosid_dicot_genus.n.01')-misc
Synset('sauvignon_blanc.n.01')	Synset('vine.n.01')-misc
Synset('buyer's_market.n.01')	Synset('activity.n.01')-misc
Synset('bee_eater.n.01')	Synset('bird.n.01')-misc
Synset('magnus_hitch.n.01')	Synset('restraint.n.06')
Synset('occiput.n.01')	Synset('connective_tissue.n.01')
Synset('akeridae.n.01')	Synset('family.n.06')-misc
Synset('indefinite_integral.n.01')	Synset('thinking.n.01')-misc
Synset('cerebral_vein.n.01')	Synset('vein.n.01')
Synset('western_blind_snake.n.01')	Synset('snake.n.01')
Synset('lantern_jaw.n.01')	Synset('organ.n.01')-misc
Synset('fuschia.n.01')	Synset('visual_property.n.01')
Synset('ermine.n.01')	Synset('animal_material.n.01')
Synset('state_prison.n.01')	Synset('establishment.n.04')
Synset('periodic_apnea_of_the_newborn.n.01')	Synset('symptom.n.01')-misc
Synset('smash.n.02')	Synset('trouble.n.03')
Synset('haematobia.n.01')	Synset('arthropod_genus.n.01')-misc
Synset('safflower.n.01')	Synset('herb.n.01')-misc
Synset('impoliteness.n.01')	Synset('demeanor.n.01')
Synset('corozo.n.01')	Synset('tree.n.01')-misc
Synset('molotov_cocktail.n.01')	Synset('explosive_device.n.01')
Synset('substitute.n.01')	Synset('cognition.n.01')-misc
Synset('substitute.n.02')	Synset('athlete.n.01')
Synset('dutch_elm.n.01')	Synset('tree.n.01')-misc
Synset('circumscription.n.01')	Synset('control.n.05')
Synset('thuggee.n.01')	Synset('termination.n.05')
Synset('bloater.n.01')	Synset('seafood.n.01')
Synset('flame_fish.n.01')	Synset('percoid_fish.n.01')-misc
Synset('invasion_of_privacy.n.01')	Synset('wrongdoing.n.02')-misc
Synset('citrus.n.02')	Synset('fruit_tree.n.01')
Synset('chance-medley.n.01')	Synset('termination.n.05')
Synset('tinker.n.02')	Synset('workman.n.01')
Synset('tapping.n.01')	Synset('sound.n.04')
Synset('subwoofer.n.01')	Synset('electrical_device.n.01')
Synset('plan_of_action.n.01')	Synset('plan.n.01')
Synset('green_woodpecker.n.01')	Synset('bird.n.01')-misc
Synset('common_alder.n.01')	Synset('tree.n.01')-misc
Synset('encolure.n.01')	Synset('covering.n.01')
Synset('tightrope.n.01')	Synset('line.n.18')
Synset('incrimination.n.01')	Synset('statement.n.01')-misc
Synset('revenue_tariff.n.01')	Synset('liabilities.n.01')
Synset('supernatant.n.01')	Synset('liquid.n.01')-misc
Synset('hostaceae.n.01')	Synset('monocot_family.n.01')
Synset('trunk.n.01')	Synset('stalk.n.02')
Synset('subscription_right.n.01')	Synset('abstraction.n.01')
Synset('gomphothere.n.01')	Synset('placental.n.01')-misc
Synset('urge_incontinence.n.01')	Synset('bodily_process.n.01')-misc
Synset('von_neumann_machine.n.01')	Synset('machine.n.01')-misc
Synset('intensity.n.01')	Synset('magnitude.n.01')
Synset('coltsfoot.n.02')	Synset('herb.n.01')-misc
Synset('casualness.n.01')	Synset('demeanor.n.01')
Synset('intensity.n.02')	Synset('property.n.02')-misc
Synset('digitalis.n.01')	Synset('organic_compound.n.01')-misc
Synset('osteopathy.n.01')	Synset('care.n.01')
Synset('seeking.n.02')	Synset('attempt.n.01')
Synset('ship's_papers.n.01')	Synset('legal_document.n.01')-misc
Synset('australopithecus_robustus.n.01')	Synset('primate.n.02')
Synset('license.n.01')	Synset('legal_document.n.01')-misc
Synset('group_therapy.n.01')	Synset('care.n.01')
Synset('license.n.03')	Synset('state.n.02')-misc
Synset('license.n.02')	Synset('state.n.02')-misc
Synset('license.n.04')	Synset('social_control.n.01')
Synset('stalagmite.n.01')	Synset('round_shape.n.01')
Synset('ligature.n.02')	Synset('written_symbol.n.01')
Synset('ligature.n.03')	Synset('restraint.n.06')
Synset('hepatitis_delta.n.01')	Synset('communicable_disease.n.01')
Synset('preparatory_school.n.01')	Synset('educational_institution.n.01')
Synset('tagasaste.n.01')	Synset('shrub.n.01')-misc
Synset('canthus.n.01')	Synset('point.n.02')-misc
Synset('line.n.22')	Synset('commodity.n.01')-misc
Synset('midwife.n.01')	Synset('professional.n.01')
Synset('sublimate.n.01')	Synset('fluid.n.02')
Synset('smallholder.n.01')	Synset('creator.n.02')
Synset('line.n.20')	Synset('mark.n.04')
Synset('nestorian.n.01')	Synset('follower.n.01')
Synset('mumble.n.01')	Synset('utterance.n.01')
Synset('yellowhammer.n.02')	Synset('oscine.n.01')-misc
Synset('pelvic_inflammatory_disease.n.01')	Synset('disease.n.01')-misc
Synset('knight-errant.n.01')	Synset('aristocrat.n.01')
Synset('wapiti.n.01')	Synset('even-toed_ungulate.n.01')
Synset('male_aristocrat.n.01')	Synset('aristocrat.n.01')
Synset('electron_microscopy.n.01')	Synset('investigation.n.02')
Synset('commissioned_military_officer.n.01')	Synset('serviceman.n.01')
Synset('descent.n.05')	Synset('geological_formation.n.01')
Synset('detective_agency.n.01')	Synset('enterprise.n.02')
Synset('law_of_diminishing_returns.n.01')	Synset('law.n.04')
Synset('bet.n.02')	Synset('diversion.n.01')-misc
Synset('triangularity.n.01')	Synset('spatial_property.n.01')
Synset('havasupai.n.01')	Synset('amerindian.n.01')
Synset('phycomycosis.n.01')	Synset('organic_process.n.01')-misc
Synset('torchlight.n.01')	Synset('energy.n.01')
Synset('creamcups.n.01')	Synset('flower.n.01')-misc
Synset('islamism.n.01')	Synset('movement.n.04')
Synset('bezoar_goat.n.01')	Synset('even-toed_ungulate.n.01')
Synset('zombie.n.05')	Synset('mixed_drink.n.01')
Synset('self-help.n.01')	Synset('activity.n.01')-misc
Synset('claytonia.n.01')	Synset('caryophylloid_dicot_genus.n.01')
Synset('rat-catcher.n.01')	Synset('workman.n.01')
Synset('whydah.n.01')	Synset('oscine.n.01')-misc
Synset('synechia.n.01')	Synset('pathology.n.02')
Synset('torridity.n.01')	Synset('fundamental_quantity.n.01')-misc
Synset('nail_pulling.n.01')	Synset('practice.n.01')
Synset('valvular_heart_disease.n.01')	Synset('disorder.n.01')-misc
Synset('lepomis.n.01')	Synset('fish_genus.n.01')-misc
Synset('automobile_industry.n.01')	Synset('enterprise.n.02')
Synset('non_prosequitur.n.01')	Synset('due_process.n.01')
Synset('isopropyl_alcohol.n.01')	Synset('liquid.n.01')-misc
Synset('wild_angelica.n.01')	Synset('herb.n.01')-misc
Synset('heuristic.n.01')	Synset('procedure.n.01')-misc
Synset('acentric_chromosome.n.01')	Synset('body.n.04')
Synset('overthrow.n.01')	Synset('termination.n.05')
Synset('hood.n.09')	Synset('protective_covering.n.01')
Synset('leucaena.n.01')	Synset('rosid_dicot_genus.n.01')-misc
Synset('aponeurosis.n.01')	Synset('connective_tissue.n.01')
Synset('ultrasound.n.01')	Synset('physical_phenomenon.n.01')-misc
Synset('versatility.n.01')	Synset('state.n.02')-misc
Synset('spring_squill.n.01')	Synset('bulbous_plant.n.01')
Synset('attrition_rate.n.01')	Synset('magnitude_relation.n.01')
Synset('offer.n.02')	Synset('message.n.02')-misc
Synset('pistachio.n.02')	Synset('seed.n.01')
Synset('offer.n.01')	Synset('speech_act.n.01')-misc
Synset('sell-by_date.n.01')	Synset('measure.n.02')-misc
Synset('astreus_hygrometricus.n.01')	Synset('fungus.n.01')-misc
Synset('cynic.n.02')	Synset('intellectual.n.01')
Synset('pamphleteer.n.01')	Synset('writer.n.01')
Synset('cynic.n.01')	Synset('unwelcome_person.n.01')
Synset('cytoarchitecture.n.01')	Synset('property.n.02')-misc
Synset('sphaeralcea.n.01')	Synset('dilleniid_dicot_genus.n.01')-misc
Synset('recall.n.01')	Synset('request.n.02')
Synset('recall.n.02')	Synset('request.n.02')
Synset('lamium.n.01')	Synset('asterid_dicot_genus.n.01')-misc
Synset('service_line.n.01')	Synset('mark.n.04')
Synset('recall.n.05')	Synset('change_of_state.n.01')-misc
Synset('glass.n.02')	Synset('container.n.01')-misc
Synset('inactiveness.n.02')	Synset('trait.n.01')-misc
Synset('tin_pan_alley.n.01')	Synset('district.n.01')
Synset('can_opener.n.01')	Synset('hand_tool.n.01')
Synset('silverweed.n.02')	Synset('shrub.n.01')-misc
Synset('forest_tent_caterpillar.n.01')	Synset('animal.n.01')-misc
Synset('training_table.n.01')	Synset('food.n.01')-misc
Synset('echocardiograph.n.01')	Synset('instrument.n.01')-misc
Synset('day_game.n.01')	Synset('sport.n.01')
Synset('highlander.n.02')	Synset('european.n.01')
Synset('highlander.n.01')	Synset('serviceman.n.01')
Synset('seniority.n.01')	Synset('status.n.01')-misc
Synset('aggrandizement.n.01')	Synset('change_of_magnitude.n.01')
Synset('turnstone.n.01')	Synset('wading_bird.n.01')
Synset('smoke_bomb.n.01')	Synset('explosive_device.n.01')
Synset('square_yard.n.01')	Synset('unit_of_measurement.n.01')-misc
Synset('steelyard.n.01')	Synset('measuring_instrument.n.01')-misc
Synset('cranial_cavity.n.01')	Synset('cavity.n.04')
Synset('dumb_bomb.n.01')	Synset('explosive_device.n.01')
Synset('optic_chiasma.n.01')	Synset('structure.n.04')-misc
Synset('dislocation.n.01')	Synset('happening.n.01')-misc
Synset('square_mile.n.01')	Synset('unit_of_measurement.n.01')-misc
Synset('dislocation.n.03')	Synset('injury.n.01')
Synset('dislocation.n.02')	Synset('motion.n.03')
Synset('veronica.n.01')	Synset('flower.n.01')-misc
Synset('noria.n.01')	Synset('mechanical_device.n.01')
Synset('rhinoscope.n.01')	Synset('instrument.n.01')-misc
Synset('capacitor.n.01')	Synset('electrical_device.n.01')
Synset('frost.n.03')	Synset('natural_process.n.01')-misc
Synset('piston_ring.n.01')	Synset('restraint.n.06')
Synset('squirting_cucumber.n.01')	Synset('vine.n.01')-misc
Synset('urban_area.n.01')	Synset('geographical_area.n.01')-misc
Synset('sourball.n.01')	Synset('dainty.n.01')
Synset('1840s.n.01')	Synset('time_period.n.01')-misc
Synset('waxing.n.01')	Synset('labor.n.02')
Synset('sea_wormwood.n.01')	Synset('subshrub.n.01')
Synset('schmaltz.n.01')	Synset('trait.n.01')-misc
Synset('federal.n.01')	Synset('american.n.01')
Synset('mollusk_family.n.01')	Synset('family.n.06')-misc
Synset('scullion.n.01')	Synset('worker.n.01')-misc
Synset('lay_reader.n.01')	Synset('person.n.01')-misc
Synset('ostracism.n.02')	Synset('act.n.02')-misc
Synset('junk.n.02')	Synset('vessel.n.02')
Synset('guard_duty.n.01')	Synset('work.n.01')-misc
Synset('genus_aloe.n.01')	Synset('liliid_monocot_genus.n.01')
Synset('federal_security_bureau.n.01')	Synset('administrative_unit.n.01')-misc
Synset('gastric_juice.n.01')	Synset('body_substance.n.01')
Synset('rosemary.n.02')	Synset('flavorer.n.01')-misc
Synset('blueberry.n.01')	Synset('shrub.n.01')-misc
Synset('blueberry.n.02')	Synset('edible_fruit.n.01')
Synset('crocus.n.01')	Synset('bulbous_plant.n.01')
Synset('time_sheet.n.01')	Synset('evidence.n.02')
Synset('cedar.n.02')	Synset('wood.n.01')
Synset('millibar.n.01')	Synset('unit_of_measurement.n.01')-misc
Synset('tall_tale.n.01')	Synset('message.n.02')-misc
Synset('bubble_shell.n.01')	Synset('mollusk.n.01')
Synset('dispensary.n.01')	Synset('building.n.01')-misc
Synset('anthidium.n.01')	Synset('arthropod_genus.n.01')-misc
Synset('dithyramb.n.01')	Synset('writing.n.02')-misc
Synset('stapler.n.01')	Synset('machine.n.01')-misc
Synset('taster.n.01')	Synset('expert.n.01')
Synset('italian_parsley.n.01')	Synset('herb.n.01')-misc
